fips,state_abbr,pollutant,model,season,elevated,damage
1001,AL,pm25,AP2,annual,high stack,47277.16046
1001,AL,so2,AP2,annual,high stack,36817.60359
1001,AL,nox,AP2,annual,high stack,5765.476019
1001,AL,nh3,AP2,annual,high stack,54572.66624
1001,AL,voc,AP2,annual,high stack,4912.509173
1001,AL,pm25,EASIUR,annual,high stack,127877.8802
1001,AL,so2,EASIUR,annual,high stack,43610.70513
1001,AL,nox,EASIUR,annual,high stack,6809.047954
1001,AL,nh3,EASIUR,annual,high stack,94424.29269
1001,AL,pm25,EASIUR,winter,high stack,169092.1369
1001,AL,so2,EASIUR,winter,high stack,41836.08087
1001,AL,nox,EASIUR,winter,high stack,15329.39222
1001,AL,nh3,EASIUR,winter,high stack,111278.3459
1001,AL,pm25,EASIUR,spring,high stack,103233.3278
1001,AL,so2,EASIUR,spring,high stack,60197.00364
1001,AL,nox,EASIUR,spring,high stack,6165.740952
1001,AL,nh3,EASIUR,spring,high stack,80521.56838
1001,AL,pm25,EASIUR,summer,high stack,93533.03972
1001,AL,so2,EASIUR,summer,high stack,43080.07068
1001,AL,nox,EASIUR,summer,high stack,2198.026733
1001,AL,nh3,EASIUR,summer,high stack,93679.29838
1001,AL,pm25,EASIUR,fall,high stack,145653.0164
1001,AL,so2,EASIUR,fall,high stack,29329.66533
1001,AL,nox,EASIUR,fall,high stack,3543.031916
1001,AL,nh3,EASIUR,fall,high stack,92217.95812
1001,AL,pm25,InMAP,annual,high stack,61962.16218
1001,AL,so2,InMAP,annual,high stack,41132.40826
1001,AL,nox,InMAP,annual,high stack,13832.51231
1001,AL,nh3,InMAP,annual,high stack,50977.36316
1001,AL,voc,InMAP,annual,high stack,7012.506225
1003,AL,pm25,AP2,annual,high stack,59934.6736
1003,AL,so2,AP2,annual,high stack,36915.5548
1003,AL,nox,AP2,annual,high stack,5271.806614
1003,AL,nh3,AP2,annual,high stack,99328.02991
1003,AL,voc,AP2,annual,high stack,6631.292406
