region,bea_industry,lps,lps_basis,faf_sctg,wage_lq,jobs_per_output_2024,earnings_per_output_2024,value_added_per_output_2024,wage_per_output_2024,qcew_fallback_level,source_data_year,source_price_year,currency,price_year,mapping_status,fallback_status,download_url,sha256
AL,1111A0,0.5331437722237713,faf,01-09,0.20615567342214983,5.581374306989356e-07,0.02778940757797781,0.4623717814527946,0.022676600555456474,mapped_5digit,2024,2024,USD,2024,resolved,mapped_5digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,1111B0,0.5331437722237713,faf,01-09,0.08901134798788735,6.462618324465691e-07,0.04671205850503612,0.28685861777401983,0.038117786025825696,mapped_5digit,2024,2024,USD,2024,resolved,mapped_5digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,111200,0.5331437722237713,faf,01-09,0.4253175632436869,1.8256586139390593e-06,0.132776773370201,0.43342550249920236,0.1083479683512389,mapped_4digit,2024,2024,USD,2024,resolved,mapped_4digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,111300,0.5331437722237713,faf,01-09,0.004559431472862647,4.828518714697985e-06,0.1729754990319781,0.6086854930235663,0.14115077071802581,mapped_4digit,2024,2024,USD,2024,resolved,mapped_4digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,111400,0.5331437722237713,faf,01-09,1.0,4.212415291918893e-06,0.27461244211797864,0.5150493255486209,0.22408814005818262,mapped_4digit,2024,2024,USD,2024,resolved,mapped_4digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,111900,0.5331437722237713,faf,01-09,0.49096451389479756,3.698826763831673e-06,0.17757731958762887,0.3558541973490427,0.1449059298114884,mapped_4digit,2024,2024,USD,2024,resolved,mapped_4digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,112120,0.5331437722237713,faf,01-09,0.020625102405122962,1.2320087014799455e-06,0.05654159530852665,0.24951995433079038,0.04613884509707249,mapped_5digit,2024,2024,USD,2024,resolved,mapped_5digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,1121A0,0.5331437722237713,faf,01-09,0.980320356000528,2.035182565573334e-07,0.013980375232816972,0.3100667787216645,0.011408209544604362,fallback_11,2024,2024,USD,2024,resolved,fallback_11,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,112300,0.5331437722237713,faf,01-09,1.0,6.884802122731435e-07,0.05656524860886735,0.13040746724106983,0.04615814656804265,mapped_4digit,2024,2024,USD,2024,resolved,mapped_4digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,112A00,0.5331437722237713,faf,01-09,0.28676135429144356,1.4393212587055845e-06,0.08350219265083926,0.6903674580371995,0.06813912325890775,mapped_4digit,2024,2024,USD,2024,resolved,mapped_4digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,113000,0.5331437722237713,faf,01-09,1.0,6.1775641331211665e-06,0.441649792177342,0.5663433869764468,0.36039328634492374,mapped_3digit,2024,2024,USD,2024,resolved,mapped_3digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,114000,0.5331437722237713,faf,01-09,0.19392835803323544,2.520902800886114e-06,0.10554245283018868,0.7589622641509434,0.0861243276869976,mapped_3digit,2024,2024,USD,2024,resolved,mapped_3digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,115000,0.5331437722237713,faf,01-09,0.676805046801061,9.205113541214605e-06,0.629551656920078,0.8014424951267056,0.5137242099509784,mapped_3digit,2024,2024,USD,2024,resolved,mapped_3digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,211000,0.5111219912437919,faf,10-19,0.1780861348022067,7.468758143133793e-07,0.1192459251298585,0.6218878739029196,0.09730658001427041,mapped_3digit,2024,2024,USD,2024,resolved,mapped_3digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,212100,0.5111219912437919,faf,10-19,1.0,9.567996419349335e-07,0.1552354632498674,0.5059040281383469,0.12667461809974453,mapped_4digit,2024,2024,USD,2024,resolved,mapped_4digit,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
AL,212230,0.5111219912437919,faf,10-19,0.7502082809045156,9.043805399424842e-07,0.11695994009734181,0.510295769374766,0.09544117970616117,fallback_21,2024,2024,USD,2024,resolved,fallback_21,https://apps.bea.gov/industry/xls/io-annual/Use_SUT_Framework_2017_DET.xlsx;https://data.bls.gov/cew/data/files/2024/csv/2024_annual_singlefile.zip;https://apps.bea.gov/regional/zip/SAINC.zip;https://faf.ornl.gov/faf5/data/download_files/FAF5.7.1_State.zip,07aa2a21151e78ec1462c8f48142d274c153d90aff07bd797e07c6bc8486911e;334ac1ec9101f516ed9698859a165666c6f6d08a51b35cb5fc1e1bf62e06b0da;339a3d3d6a283eea3f5647ea5b33570da73801d4248c5e2209c1e196428d9a9a;1959b40d1b297b7dec827035dd74c0bda429a70fc5510d688f72d4e1620950b6
